# base_kpoint_direct 0.0 0.0 0.0
# effective_genFröhlich_mass 0.39992957651412864
# n_degenerate 4
# lebedev_order 21
# sphere_radius 0.0014469931558637238
# 
# weight kx ky kz mass1 mass2 mass3 mass4
6.882781368562168600e-02 0.000000000000000000e+00 -2.613931360335988163e-01 -9.652324219764484292e-01 6.478988751756982190e-01 6.479003114513940398e-01 2.591900807899917281e-01 2.591894828879491852e-01
6.882781368562168600e-02 0.000000000000000000e+00 9.652324219764484292e-01 2.613931360335988163e-01 6.478918548341295880e-01 6.478920184424127315e-01 2.591912400978718667e-01 2.591907135658086392e-01
6.882781368562168600e-02 0.000000000000000000e+00 -9.652324219764484292e-01 2.613931360335988163e-01 6.478943821493683419e-01 6.478908079861962488e-01 2.591908021067410584e-01 2.591910808416346135e-01
6.882781368562168600e-02 0.000000000000000000e+00 9.652324219764484292e-01 -2.613931360335988163e-01 6.478943821493683419e-01 6.478908079861962488e-01 2.591908021067410584e-01 2.591910808416346135e-01
6.882781368562168600e-02 0.000000000000000000e+00 -9.652324219764484292e-01 -2.613931360335988163e-01 6.478918548341295880e-01 6.478920184424127315e-01 2.591912400978718667e-01 2.591907135658086392e-01
7.500092515800829696e-02 4.990453161796036263e-01 1.446630744325115014e-01 8.544158046846588306e-01 5.328078998527057131e-01 5.328120538999505662e-01 2.837008840773877494e-01 2.836992530029761594e-01
7.500092515800829696e-02 -4.990453161796036263e-01 1.446630744325115014e-01 8.544158046846588306e-01 5.328115018017487436e-01 5.328075581216675793e-01 2.836997790998161961e-01 2.837005966550447122e-01
7.500092515800829696e-02 4.990453161796036263e-01 -1.446630744325115014e-01 8.544158046846588306e-01 5.328090633487837513e-01 5.328101662807391836e-01 2.837004219061439736e-01 2.836997447356345292e-01
7.500092515800829696e-02 4.990453161796036263e-01 1.446630744325115014e-01 -8.544158046846588306e-01 5.328118467498689226e-01 5.328069607657511808e-01 2.836996164215629945e-01 2.837005839294363674e-01
7.500092515800829696e-02 -4.990453161796036263e-01 -1.446630744325115014e-01 8.544158046846588306e-01 5.328118467498689226e-01 5.328069607657511808e-01 2.836996164215629945e-01 2.837005839294363674e-01
7.500092515800829696e-02 4.990453161796036263e-01 -1.446630744325115014e-01 -8.544158046846588306e-01 5.328115018017487436e-01 5.328075581216675793e-01 2.836997790998161961e-01 2.837005966550447122e-01
7.500092515800829696e-02 -4.990453161796036263e-01 1.446630744325115014e-01 -8.544158046846588306e-01 5.328090633487837513e-01 5.328101662807391836e-01 2.837004219061439736e-01 2.836997447356345292e-01
7.500092515800829696e-02 -4.990453161796036263e-01 -1.446630744325115014e-01 -8.544158046846588306e-01 5.328078998527057131e-01 5.328120538999505662e-01 2.837008840773877494e-01 2.836992530029761594e-01
7.500092515800829696e-02 1.446630744325115014e-01 4.990453161796036263e-01 8.544158046846588306e-01 5.328075705553112495e-01 5.328120124176621841e-01 2.837009522552224050e-01 2.836992804812163427e-01
7.500092515800829696e-02 -1.446630744325115014e-01 4.990453161796036263e-01 8.544158046846588306e-01 5.328095156470117333e-01 5.328100478636509374e-01 2.837005157138350331e-01 2.836997696862086360e-01
7.500092515800829696e-02 1.446630744325115014e-01 -4.990453161796036263e-01 8.544158046846588306e-01 5.328112599253569392e-01 5.328073925586116477e-01 2.836998629767133462e-01 2.837004444971003014e-01
7.500092515800829696e-02 1.446630744325115014e-01 4.990453161796036263e-01 -8.544158046846588306e-01 5.328118773278212039e-01 5.328072950141763409e-01 2.836996213072379702e-01 2.837006029392515338e-01
7.500092515800829696e-02 -1.446630744325115014e-01 -4.990453161796036263e-01 8.544158046846588306e-01 5.328118773278212039e-01 5.328072950141763409e-01 2.836996213072379702e-01 2.837006029392515338e-01
