# base_kpoint_direct 0.0 0.0 0.0
# effective_genFröhlich_mass 0.5109478137187771
# n_degenerate 3
# lebedev_order 21
# sphere_radius 0.0014469931558637238
# 
# weight kx ky kz mass1 mass2 mass3
6.882781368562168600e-02 0.000000000000000000e+00 9.652324219764484292e-01 -2.613931360335988163e-01 2.451219899495394206e+00 2.784771164692910195e-01 2.606790161265338801e-01
6.882781368562168600e-02 0.000000000000000000e+00 -9.652324219764484292e-01 -2.613931360335988163e-01 2.451220196693312925e+00 2.784771154828110107e-01 2.606790164015758693e-01
7.500092515800829696e-02 4.990453161796037929e-01 1.446630744325115014e-01 8.544158046846588306e-01 8.881164994884771513e-01 3.392144502419249252e-01 2.658444128428866238e-01
7.500092515800829696e-02 -4.990453161796037929e-01 1.446630744325115014e-01 8.544158046846588306e-01 8.881164713079152673e-01 3.392144488115217960e-01 2.658444123117790214e-01
7.500092515800829696e-02 4.990453161796037929e-01 -1.446630744325115014e-01 8.544158046846588306e-01 8.881164551094039572e-01 3.392144505011033262e-01 2.658444140971086278e-01
7.500092515800829696e-02 4.990453161796037929e-01 1.446630744325115014e-01 -8.544158046846588306e-01 8.881164706650465090e-01 3.392144494170647451e-01 2.658444096843110005e-01
7.500092515800829696e-02 -4.990453161796037929e-01 -1.446630744325115014e-01 8.544158046846588306e-01 8.881164706650465090e-01 3.392144494170647451e-01 2.658444096843110005e-01
7.500092515800829696e-02 4.990453161796037929e-01 -1.446630744325115014e-01 -8.544158046846588306e-01 8.881164713079152673e-01 3.392144488115217960e-01 2.658444123117790214e-01
7.500092515800829696e-02 -4.990453161796037929e-01 1.446630744325115014e-01 -8.544158046846588306e-01 8.881164551094039572e-01 3.392144505011033262e-01 2.658444140971086278e-01
7.500092515800829696e-02 -4.990453161796037929e-01 -1.446630744325115014e-01 -8.544158046846588306e-01 8.881164994884771513e-01 3.392144502419249252e-01 2.658444128428866238e-01
7.500092515800829696e-02 1.446630744325115014e-01 4.990453161796037929e-01 8.544158046846588306e-01 8.881164930345794017e-01 3.392144491510173943e-01 2.658444126850292855e-01
7.500092515800829696e-02 -1.446630744325115014e-01 4.990453161796037929e-01 8.544158046846588306e-01 8.881164678692721193e-01 3.392144502615039303e-01 2.658444105429261239e-01
7.500092515800829696e-02 1.446630744325115014e-01 -4.990453161796037929e-01 8.544158046846588306e-01 8.881164635111860051e-01 3.392144505902364715e-01 2.658444107100516596e-01
7.500092515800829696e-02 1.446630744325115014e-01 4.990453161796037929e-01 -8.544158046846588306e-01 8.881164680553852442e-01 3.392144472822501977e-01 2.658444118270120726e-01
7.500092515800829696e-02 -1.446630744325115014e-01 -4.990453161796037929e-01 8.544158046846588306e-01 8.881164680553852442e-01 3.392144472822501977e-01 2.658444118270120726e-01
7.500092515800829696e-02 1.446630744325115014e-01 -4.990453161796037929e-01 -8.544158046846588306e-01 8.881164678692721193e-01 3.392144502615039303e-01 2.658444105429261239e-01
7.500092515800829696e-02 -1.446630744325115014e-01 4.990453161796037929e-01 -8.544158046846588306e-01 8.881164635111860051e-01 3.392144505902364715e-01 2.658444107100516596e-01
7.500092515800829696e-02 -1.446630744325115014e-01 -4.990453161796037929e-01 -8.544158046846588306e-01 8.881164930345794017e-01 3.392144491510173943e-01 2.658444126850292855e-01
7.500092515800829696e-02 8.544158046846588306e-01 4.990453161796037929e-01 1.446630744325115014e-01 8.881164520863639167e-01 3.392144464819989436e-01 2.658444096892606523e-01
7.500092515800829696e-02 -8.544158046846588306e-01 4.990453161796037929e-01 1.446630744325115014e-01 8.881164738675262349e-01 3.392144518330705294e-01 2.658444109190332694e-01
7.500092515800829696e-02 8.544158046846588306e-01 -4.990453161796037929e-01 1.446630744325115014e-01 8.881164629250409837e-01 3.392144504254916426e-01 2.658444107805758572e-01
7.500092515800829696e-02 8.544158046846588306e-01 4.990453161796037929e-01 -1.446630744325115014e-01 8.881164802910229694e-01 3.392144490528519740e-01 2.658444126481892544e-01
7.500092515800829696e-02 -8.544158046846588306e-01 -4.990453161796037929e-01 1.446630744325115014e-01 8.881164802910229694e-01 3.392144490528519740e-01 2.658444126481892544e-01
7.500092515800829696e-02 8.544158046846588306e-01 -4.990453161796037929e-01 -1.446630744325115014e-01 8.881164738675262349e-01 3.392144518330705294e-01 2.658444109190332694e-01
7.500092515800829696e-02 -8.544158046846588306e-01 4.990453161796037929e-01 -1.446630744325115014e-01 8.881164629250409837e-01 3.392144504254916426e-01 2.658444107805758572e-01
7.500092515800829696e-02 -8.544158046846588306e-01 -4.990453161796037929e-01 -1.446630744325115014e-01 8.881164520863639167e-01 3.392144464819989436e-01 2.658444096892606523e-01
